Text,Target,clened_text
چی می‌شد یه اپلیکیشن مخصوص اجناس دزدی بسازیم که مالباخته بدون واسطه کالای خودش رو از دزدش بخره. اسمشم بذاریم آی‌دزد.  》مِ یاما اِلرِی《  @OfficialPersianTwitter,1,چی  اپلیکیشن مخصوص اجناس دزدی بسازیم مالباخته واسطه کالای دزدش بخره اسمشم بذاریم آیدزد م یاما الری
یه ویدئو دیدم پنکه سقفی افتاد ولی نچرخید و سر آدما رو قطع نکرد و خون به اطراف نپاشید و .. خلاصه اون تصور کودکیمون بود؟ کنکله ...  *یک کتابفروش خوشحال*  @OfficialPersianTwitter,1, ویدئو دیدم پنکه سقفی افتاد نچرخید سر آدما قطع نکرد خون اطراف نپاشید خلاصه اون تصور کودکیمون کنکله کتابفروش خوشحال
‏فک و فامیلام گفتن: دیگه وقتشه یه کاری کنی که بتونیم سرمونو بالا بگیریم، منم سریع گفتم ریدم دهن هرکی که پایینو نگاه کنه.  》روناردو《  @OfficialPersianTwitter,1,فک فامیلام گفتن دیگه وقتشه  کاری کنی بتونیم سرمونو بگیریم منم سریع گفتم ریدم دهن هرکی پایینو نگاه کنه روناردو
میدونستید اگه روزانه بیش از یک ساعت گوشی دستتون باشه ریسک ابتلا به سرطان قرنیه و سکته مغزی بالا میره؟ منم نمیدونستم ولی از وقتی اینو تو گروه فامیلی فرستادم شوهر عمه‌م پیام انگیزشی نمیفرسته  》الامزد《  @OfficialPersianTwitter,1,میدونستید اگه روزانه ساعت گوشی دستتون باشه ریسک ابتلا سرطان قرنیه سکته مغزی میره منم نمیدونستم اینو گروه فامیلی فرستادم شوهر عمهم پیام انگیزشی نمیفرسته الامزد
‏یه مسابقه‌ای هم بود به اسم مردان آهنین که کلی گولاخ جمع می‌شدن لاستیک جا به جا می‌کردن. تلویزیون رو روشن می‌کردی از تو اسپیکرا صدای زایمان و بوی عرق پخش می‌شد تو خونه.  》استووی《  @OfficialPersianTwitter,1, مسابقی اسم مردان آهنین گولاخ می‌شدن لاستیک میکردن تلویزیون روشن می‌کردی اسپیکرا صدای زایمان بوی عرق خونه استووی
مادر عزیزم من بهت گفتم یه تیکه پارچه نرم بذار تو ماشینم واسه شیشه پاک کردن حالا چجوری به دوست دخترم که شورت پاچه دار بابا رو از تو داشبورد در آورده حالی کنم این شورت بابامه و توقع داشته باشم باور کنه؟! حداقل پاره ش میکردی سالم نمیذاشتیش اونجا!!!  》Dariush《  @OfficialPersianTwitter,2,مادر عزیزم بهت گفتم  تیکه پارچه نرم بذار ماشینم واسه شیشه پاک چجوری دوست دخترم شورت پاچه بابا داشبورد آورده شورت بابامه توقع داشته_باشم باور کنه پاره ش می‌کردی سالم نمیذاشتیش اونجا
دیروز صبح به یه نفر میگفتی ژاپن و عربستان تو جام جهانی آلمان و آرژانتین رو شکست میدن یه راست میبردنت تیمارستان  》S《  @OfficialPersianTwitter,1,دیروز صبح  نفر می‌گفتی ژاپن عربستان جام جنی آلمان آرژانتین شکست میدن  راست میبردنت تیمارستان
‏تا اینجا ما و ژاپن و عربستان، هر سه تامون، دو گل زدیم و تا اینجا پرچم آسیا را بالا نگه داشتیم. واقعا امسال ما تیمهای آسیایی، قوی و غیرقابل پیش‌بینی ظاهر شدیم:)))  》Hadi《  @OfficialPersianTwitter,2,ژاپن عربستان تامون گل زدیم پرچم آسیا نگه داشتیم واقعا امسال تیمی آسیایی قوی غیرقابل پیشبینی ظاهر شدیم
هیچ وقت فکرشو نمیکردم که یه روزی با هوادارای کاستاریکا همزاد پنداری کنم، میفهمم چی میکشید مارو هم تو غم خودتون شریک بدونید:))))  》فوتبالی《  @OfficialPersianTwitter,1,وقت فکرشو نمی‌کردم  روزی هوادارای کاستاریکا همزاد پنداری می‌فهمم چی می‌کشید مارو غم خودتون شریک بدونید فوتبالی
‏سالها پیش با دوستم تصمیم گرفتیم هر وقت پولدار شدیم دست آدم‌هایی که تا خرخره تو بدهی‌ان بگیریم، امروز دوستم به آرزوش رسید و چند تا چک یه آدم نیازمند رو پاس کرد، البته ناگفته نماند که منم تو این کار خیر کمکش کردم، چک‌های منو پاس کرد  》خلافکار《  @OfficialPersianTwitter,2,سال دوستم تصمیم گرفتیم وقت پولدار شدیم دست آدمیی خرخره بدهیان بگیریم امروز دوستم آرزوش چک  آدم نیازمند پاس ناگفته نماند منم کار خیر کمکش چکی منو پاس خلافکار
امشب کیروش مصاحبه میکنه میگه: کاستاریکا ۷تا گل خورد بدون گل زده ولی ما دوتا گلم زدیم شما لیاقت منو ندارید:)))  》Ali《  @OfficialPersianTwitter,1,امشب کیروش مصاحبه میکنه میگه کاستاریکا گل خورد گل زده دوتا گلم زدیم لیاقت منو ندارید
به نظرم صداوسیما الان این پتانسیل رو داره که بر طبل شادانه بکوب رو پخش کنه.  》Mr khass《  @OfficialPersianTwitter,1,نظرم صداوسیما الان پتانسیل داره طبل شادانه بکوب کنه
الان تو کاستاریکا سالار عقیلیشون داره میخونه کاستاریکا فدای اشک و خنده تو...:)  》بهلول《  @OfficialPersianTwitter,1,الان کاستاریکا سالار عقیلیشون داره میخونه کاستاریکا فدای اشک خنده بهلول
اولین افتخار ایران تو جام‌جهانی: کاستاریکا بیشتر از ایران‌ گل خورد  》مُتَفَکِّرِمَع‌َالغَیر《  @OfficialPersianTwitter,2,افتخار ایران جامجنی کاستاریکا ایران گل خورد متفکرمعالغیر
الان ناواس دروازه بان کاستاریکا داره میگم ایکاش دماغم مثل بیرانوند میشکست میرفتم بیرون اینجوری آبروم نمیرفت.  》Soheil《  @OfficialPersianTwitter,1,الان ناواس دروازه‌بان کاستاریکا داره میگم ایکاش دماغم بیرانوند می‌شکست می‌رفتم اینجوری آبروم نمی‌رفت
رفیقم منو برد نتورک مارکتینگ، اونجا که داشتن باهام صحبت میکردن وسطش رفت دستشویی؛ دیرکرد زنگ زدم به گوشیش، دیدم جا گذاشته رو صندلی، رو صفحه گوشی نوشته بود: اسکول 3 is calling  》‌Monsieur《  @OfficialPersianTwitter,1,رفیقم منو برد نتورک مارکتینگ اونجا بام صحبت میکردن وسطش دستشویی دیرکرد زنگ زدم گوشیش دیدم گذاشته صندلی صفحه گوشی نوشته_بود اسکول ۳
رفیقمو بعد 10 سال دیدم، بهش میگم چی میخونی؟ میگه اکوسیستم اونوقت ما تو هیئت یه حاج حبیب داشتیم کل کارای اکو وسیستم و کارای برقی با این بود دیگه این چیزا که دانشگاه رفتن نمیخواد  》آقای میم《  @OfficialPersianTwitter,1,رفیقمو ۱۰ سال دیدم بهش میگم چی میخونی میگه اکوسیستم اونوقت هیئت  حاج حبیب داشتیم کارای اکو وسیستم کارای برقی دیگه چیزا دانشگاه رفتن نمیخواد می‌م
بچه یکی از دوستام اینجا به دنیا اومده و فارسی بلد نیست، برای همین تلفظ «ق» براش سخته و به قاشق میگه «گاشُگ». گذاشتنش کلاس که فارسی نوشتن یاد بگیره، دیروز از مامانش پرسیده که «گرسنه» با گ گاو نوشته میشه یا با گ گاشگ؟ :))))))))))))))))  》خود اولم《  @OfficialPersianTwitter,3,بچه دوستام دنیا اومده فارسی بلد تلفظ ق براش سخته قاشق میگه گاشگ گذاشتنش کلاس فارسی نوشتن یاد بگیره دیروز مامانش پرسیده گرسنه گ گاو نوشته میشه گ گاشگ اولم
شب خواستگاری پسرداییم  تنها شرط عروس این بود که داماد اهل مشروب نباشه امروز بعد از سه سال که ازدواج کردن خانمش زنگ زده بود قیمت کشمش میپرسید و اینکه کجا واشر دیگ عرق گیری تعمیر میکنن! خلاصه گفتم بدونین روزگار از این چیزا هم داره...  》Dariush《  @OfficialPersianTwitter,2,شب خواستگاری پسرداییم شرط عروس داماد اهل مشروب نباشه امروز سال ازدواج خانمش زنگ‌زده قیمت کشمش می‌پرسید کجا واشر دیگ عرق تعمیر میکنن خلاصه گفتم بدونین روزگار چیزا داره
هفت سالم بود اولین دندونم افتاد بابام گفت بذار زیر بالش بخواب فردا فرشته مهربون زیبا واست هدیه بیاره گذاشتم فرداش پاشدم دیدم یه کاغذ که روش نوشته بیلاخ زیر بالشمه بابامم داره یه گوشه میخنده .  》Mateo《  @OfficialPersianTwitter,1,هفت سالم دندونم افتاد بابام بذار بالش بخواب فردا فرشته مهربون زیبا واست هدیه بیاره گذاشتم فرداش پاشدم دیدم  کاغذ نوشته بیلاخ بالشمه بابامم داره  گوشه میخنده
انقدر هوا آلوده است برج میلاد رو نمیبینم اصلا. تازه کرج اینجوریه ببین تهران چیه دیگه  》S《  @OfficialPersianTwitter,2,انقدر هوا آلوده_است برج میلاد نمی‌بینم اصلا تازه کرج اینجوریه ببین تهران چیه دیگه
خواهرم همینجور که داشت منو میزد میگفت یه بار دیگه اذیتم کنی به خدا میزنمت  》Mohamad.Reza《  @OfficialPersianTwitter,2,خواهرم همینجور منو می‌زد می‌گفت  دیگه اذیتم کنی خدا میزنمت
«تولید مثل» هم ترکیب عجیبیه. نشستی داری چایی می‌خوری، یکدفعه به خودت می‌گی بذار خودم رو دوتا کنم.  》shex《  @OfficialPersianTwitter,2,تولید ترکیب عجیبیه نشستی داری چایی می‌خوری یکدفعه خودت میگی بذار خودم دوتا
رابطه من و داداشم اینجوریه که حاضره قلب و کلیه‌ش رو اهدا کنه بمن، ولی حاضر نیست اجازه بده من هودیشو بپوشم  》SaRa《  @OfficialPersianTwitter,1,رابطه داداشم اینجوریه حاضره قلب کلیهش اهدا کنه بمن حاضر اجازه بده هودیشو بپوشم
من از موقعی که بازیای جام جهانی رو از ماهواره میبینم یه تماشاگرایی رو این کارگردان قطری نشون میدن که انقدرررر زشتن عمرا هیچ‌کدومشون رو صداوسیمای خودمون سانسور کنه  》Hami《  @OfficialPersianTwitter,1,موقعی بازیای جام جنی ماهواره می‌بینم  تماشاگرایی کارگردان قطری نشون میدن انقدر زشتن عمرا هیچکدومشون صداوسیمای خودمون سانسور کنه
یه شلوار جین دارم انقد پوشیدمش دیگه یه عضو‌ی از بدنم شده و میتونه قیامت علیه‌ام شهادت بده  》الـــــهــــه《  @OfficialPersianTwitter,1, شلوار جین دارم انقد پوشیدمش دیگه  عضوی بدنم میتونه قیامت علیم شدت بده الهه
یه سوالی که همیشه ذهن آدم رو درگیر می‌کنه اینه که قدیمی‌ها با اسب و شتر چطوری بدون موزیک اینور اونور می‌رفتن؟!  》ghased《  @OfficialPersianTwitter,1, سوالی ذهن آدم درگیر میکنه اینه قدیمی اسب شتر چطوری موزیک اینور اونور میرفتن
تلویزیون چین برای پخش مسابقات جام‌جهانی به طور کامل جایگاه‌های تماشاگران رو تار و سانسور کرده و دلیل این کارشون هم این اعلام کردند که کلی هوادار بدون ماسک رو سکوها نشسته‌اند درحالی که مردم ما بخاطر کوید ماسک می‌زنند.  *FootballDN*  @OfficialPersianTwitter,1,تلویزیون چین مسابقات جامجنی جایگاه‌ی تماشاگران تار سانسور دلیل کارشون اعلام هوادار ماسک سکو نشستند درحالی‌که مردم بخاطر کوید ماسک می‌زنند
‏عمیقا دلم برای اون دوران تنگ شده که مامانم میگفت برو مهمونارو بشمار میخوام چایی ببرم منم مثل یه جاسوس کار کشته میرفتم لای مهمون ها ماموریتم رو خیلی سکرت انجام میدادم  *Amir*  @OfficialPersianTwitter,1,عمیقا دلم اون دوران تنگ مامانم می‌گفت برو مهمونارو بشمار میخوام چایی ببرم منم  جاسوس کار کشته می‌رفتم لای مهمون‌ ماموریتم سکرت انجام می‌دادم
شب‌ها دچار سندروم «به راه بادیه رفتن به از نشستن باطل» هستم و صبح‌ها مبتلا به سندروم «به کجا چنین شتابان»  *احسان*  @OfficialPersianTwitter,1,شب سندروم بادیه رفتن نشستن باطل هستم صبح مبتلا سندروم کجا شتابان احسان
پایگاه کاربران واتس اپ با داده های بیش از 500 میلیون کاربر برای فروش گذاشته شده است   _مهاجمان پایگاه داده ای از شماره های به روز مرتبط با حساب های واتس اپ از 84 کشور از جمله روسیه، ایالات متحده آمریکا، بریتانیا، مصر، عربستان سعودی، ایتالیا، فرانسه، ترکیه و سایر کشورها را برای فروش قرار دادند.   _از آنجایی که متا تعداد کاربران واتس اپ را حدود 2 میلیارد نفر گزارش کرده است، می توان فرض کرد که پایگاه داده حاوی داده های یک چهارم آنها از سراسر جهان است.  *Teror _G*  @OfficialPersianTwitter,1,پایگاه کاربران واتس اپ داده‌ی ۵۰۰ میلیون کاربر فروش گذاشته‌شده مجمان پایگاه داده‌ای شماره‌ی به‌روز مرتبط حساب‌ی واتس اپ ۸۴ کشور جمله روسیه ایالات‌متحده آمریکا بریتانیا مصر عربستان سعودی ایتالیا فرانسه ترکیه کشور فروش قرار آنجایی متا کاربران واتس اپ ۲ میلیارد نفر گزارش فرض پایگاه حاوی داده‌ی جن
با رفیقم که تازه ازدواج کرده دیشب بیرون بودیم ساعت نه و نیم شب بود، یهو پاشد گفت اوه اوه من‌ زن دارم خونه تنهاس، پا شد رفت یعنی هلاکش شدم تا اون ‌موقع یادش نبود زن داره  》aliakbar《  @OfficialPersianTwitter,3,رفیقم تازه ازدواج‌کرده دیشب بودیم ساعت نیم شب یهو پاشد اوه اوه زن دارم خونه تنس پا هلاکش شدم اون موقع یادش زن داره
اصلا يعنی چی که عکس بده ببينمت؟ خب همون گهی ام که ديروز ديدی ديگه.  》خودِ ویدا《  @OfficialPersianTwitter,1,اصلا چی عکس بده ببینمت خب همون گهی‌ام دیروز دیدی دیگه ویدا
بابام هوس سبزی پلو و تن ماهی کرده و علی‌رغم نظر مامان می‌ره کنسرو می‌خره. می‌خواسته بدون گرم کردن، کنسرو رو روی پلو خالی کنه که این‌بار مامان کوتاه نمی‌آد و بابا ۲۰ دیقه کنسرو رو‌ می‌جوشونه. نهایتاً در اوج گرسنه‌گی در کنسرو رو باز می‌کنه و با حلقه‌های جوشیده‌ی آناناس مواجه می‌شه.  》بهرنگ سهرابى《  @OfficialPersianTwitter,3,بابام هوس سبزی‌پلو تن ماهی علیرغم مامان میره کنسرو میخره می‌خواسته گرم کنسرو پلو خالی کنه اینبار مامان کوتاه نمی‌آد بابا دیقه کنسرو میجوشونه نیتا اوج گرسنهگی کنسرو میکنه حلقه‌ی جوشیدهی آناناس میشه بهرنگ سهرابی
‏نوشته 2 دقیقه خندیدن از 20 دقیقه ورزش کردن بیشتر برای سلامتی مفیده، از امروز میخوام بشینم پای تلویزیون به بازیای جام جهانی فقط بخندم...  》mehrdad《  @OfficialPersianTwitter,1,نوشته ۲ دقیقه خندیدن ۲۰ دقیقه ورزش سلامتی مفیده امروز میخوام بشینم پای تلویزیون بازیای جام جنی بخندم
بچه که بودم اگه چیپس و پفک میخوردم بابام رد میشد میگفت: این آت و آشغالا چیه میخری و میخوری؟! یه مشت برمیداشتو میرفت، ۲دقیقه بعدش دوباره همین صحنه تکرار میشد:/  》فاطیما《  @OfficialPersianTwitter,1,بچه بودم اگه چیپس پفک می‌خوردم بابام رد می‌گفت آت آشغالا چیه می‌خری می‌خوری  مشت برمیداشتو می‌رفت دقیقه بعدش صحنه تکرار فاطیما
**تلویزیون کره‌شمالی بازی‌های ژاپن، آمریکا و کره‌جنوبی را پخش نمی‌کند**  🔹بر اساس گزارش یک شبکه کره جنوبی، تلویزیون دولتی کره شمالی بازی‌های جام جهانی ۲۰۲۲ را با حذف بازی‌های ژاپن، کره‌جنوبی و آمریکا پخش می‌کند./خبر  طبق سنتی قدیمیشون هم هر دوره قهرمان جام جهانی تیم کره شمالی میشه که همه مردمشون از کیم جونگ اون به خاطر قهرمانی تو جام جهانی تشکر‌ میکنن  》Javid《  @OfficialPersianTwitter,1,تلویزیون کرهشمالی بازیی ژاپن آمریکا کرهجنوبی نمی‌کند اساس گزارش شبکه کره جنوبی تلویزیون دولتی کره شمالی بازیی جام جنی حذف بازیی ژاپن کرهجنوبی آمریکا میکندخبر سنتی قدیمیشون دوره قهرمان جام جنی تیم کره شمالی میشه مردمشون کیم جونگ اون خاطر قهرمانی جام جنی تشکر میکنن
یکی به این گزارشگرا بگه اگه حوصله ندارید درست گزارش کنید خب بگید یکی دیگه جاتون بیاد این چه مدل بیان کردن اسم بازیکناست علی بیرو احمد نور علی قلی رامین رض و...  》mojtaba《  @OfficialPersianTwitter,3,گزارشگرا بگه اگه حوصله ندارید درست گزارش خب بگید دیگه جاتون بیاد مدل اسم بازیکناست علی بیرو احمد نور علی‌قلی رامین رض
با این برد کیروش تا ۲۰۳۰ تمدید کرد  *شانتاژگر*  @OfficialPersianTwitter,3,برد کیروش تمدید شانتاژگر
الان میثاقی ولز میگه ما نود دقیقه رو نباختیم مهم اینه  *نولانی*  @OfficialPersianTwitter,2,الان میثاقی ولز میگه نود دقیقه نباختیم اینه نولانی
تو بهشت هر کس ده متر و نیم سیم شارژر داره کل دیوارام از پریز ساخته شده همش عشقت بهت پی ام میده مامانت میوه میاره   *Neginpic*  @OfficialPersianTwitter,1,بهشت کس ده نیم سیم شارژر داره دیوارام پریز ساخته‌شده همش عشقت بهت پی‌ام میده مامانت میوه میاره
آدم باید با یه پزشک ازدواج کنه تا هر وقت حال نداشت بره سر کار ،گواهی استعلاجی صادر کنه :)   *فِرَه زان*  @OfficialPersianTwitter,2,آدم  پزشک ازدواج کنه وقت نداشت بره سر کار گواهی استعلاجی صادر کنه فره زان
میزبان به عنوان اولین تیم با جام وداع کرد**  ** قطر ۱-۳ سنگال  》OPT《  @OfficialPersianTwitter,2,میزبان عنوان تیم جام وداع قطر سنگال
‏وقتی دارم با یکی چت میکنم و اون ایز تایپینگه و پیام آخر من هنوز سین نشده تصورم اینه که چشماشو گرفته فقط داره تایپ میکنه  》حشمت کرایست《  @OfficialPersianTwitter,1,دارم چت اون ایز تایپینگه پیام آخر سین نشده تصورم اینه چشماشو داره تایپ میکنه حشمت کرایست
من دلم نمی‌خواد از خانواده جدا شم و توی یه خونه دیگه زندگی کنم. دلم میخواد اونا از من جدا شن و برن یه خونه دیگه زندگی کنن :)  》استووی《  @OfficialPersianTwitter,2,دلم نمیخواد خانواده جدا شم توی  خونه دیگه زندگی دلم میخواد اونا جدا شن برن  خونه دیگه زندگی کنن استووی
‏قدر سلامتی ۳ چیز رو بدونید: ‏- خودتون  ‏- عزیزانتون  ‏- لپتاپتون  》RT《  @OfficialPersianTwitter,1,قدر سلامتی بدونید خودتون عزیزانتون لپتاپتون
زنگ زدم به رفیقم گفتم چیکار میکنی گفت  الان درگیرم، پای یه معامله میلیاردی وسطه  بهت زنگ میزنم سرم خلوت شد بعد من میخواستم بگم بهش اگه بیکاره شب بیاد خونمون پفک هم بگیره بشینیم فیلم ببینیم  》جورجیو《  @OfficialPersianTwitter,1,زنگ زدم رفیقم گفتم چیکار می‌کنی الان درگیرم پای  معامله میلیاردی وسطه بهت زنگ می‌زنم سرم خلوت می‌خواستم بگم بهش اگه بیکاره شب بیاد خونمون پفک بگیره بشینیم فیلم ببینیم جورجیو
کمرم درد ميکرد چسب زدم حالا هم درد ميکنه هم داغ شده هم ميسوزه هم ميخاره  *لیلی*  @OfficialPersianTwitter,1,کمرم درد چسب زدم درد میکنه داغ میسوزه میخاره لیلی
یه بارم رفتم تهران، آدرس بلد نبودم، به ماشین بغلی گفتم: داداش می خوام برم منیریه از کجا برم؟ گفت: از اینجا سخت پیدا کنی، پشت سرم بیا بهت بگم، رفت رفتم، پیچید پیچیدم، یهو ریموت در یه خونه رو زد رفت رو پل، رفتم کنارش گفتم: داداش نهار چی دارین؟ آخه ما عیالواریم! زد رو پیشونیش گفت: آخ ببخشید تورو یادم رفت:)))))  》پدرخواندهْ ممد براندو《  @OfficialPersianTwitter,3, بارم رفتم تهران آدرس بلد نبودم ماشین بغلی گفتم داداش می‌خوام برم منیریه کجا برم سخت کنی سرم بیا بهت بگم رفتم پیچید پیچیدم یهو ریموت  خونه زد پل رفتم کنارش گفتم داداش نر چی دارین آخه عیالواریم زد پیشونیش آخ ببخشید تورو یادم پدرخوانده ممد براندو
بابابزرگم با قریب به ۹۰ سال سن، سابقه هفتاد سال زندگی مستقل و ده تا بچه، مادربزرگم هنوز بهش میگه:  تو خیابون از دست غریبه خوراکی نگیریا، بیهوشت میکنند کلیه و کبدتو درمیارن می فروشن :))  》HO55EIN《  @OfficialPersianTwitter,2,بابابزرگم قریب سال سن سابقه هفتاد سال زندگی مستقل ده بچه مادربزرگم بهش میگه خیابون دست غریبه خوراکی نگیریا بیهوشت کلیه کبدتو درمیارن می‌فروشن ۵۵
دیروز دیدم همسایمون، یه روزنامه چسبونده روی صفحه کیلومتر ماشینش... بهش میگم این روزنامه جریانش چیه؟ گفت: میخوام این دوربینای توی جاده نفهمن سرعتم چند تاست😐  》Aiden《  @OfficialPersianTwitter,1,دیروز دیدم همسایمون  روزنامه چسبونده صفحه کیلومتر ماشینش بهش میگم روزنامه جریانش چیه میخوام دوربینای توی جاده نفهمن سرعتم تاست😐
‏اولین بار که با دوستام تنهایی رفتم بیرون، قرار گذاشتیم بریم میدون نقش جهان، تازه رسیده بودیم که مامانم زنگ زد رو گوشیم گفتم سلام گفت گوشیو بده زهرا (دوستم) گوشیو دادم به دوستم گفت سلام خاله، مامانم گفت کجایین، دوستم گفت میدون، بعد مامانم گفت چرا صدا میدون نمییاد ://  》آتیش پاره توییتر《  @OfficialPersianTwitter,1,دوستام تنیی رفتم قرار گذاشتیم بریم میدون نقش جن تازه رسیده_بودیم مامانم زنگ زد گوشیم گفتم سلام گوشیو بده زهرا دوستم گوشیو دادم دوستم سلام خاله مامانم کجایین دوستم میدون مامانم صدا میدون نمییاد آتیش پاره توییتر
مامانم تو آش اسفناج ریخته که من دوست ندارم  بعد برای اینکه منو قانع کنه میگه ملوان زبل رو یادت نیست اسفناج میخورد ؟  جدا از اینکه فک میکنه من بچه ۱۰ ساله هستم به نظرتون وقتشه که بهش بگم اونی که ملوان زبل میزد اسفناج نبوده یا زوده ؟  》Qutlas《  @OfficialPersianTwitter,2,مامانم آش اسفناج ریخته دوست ندارم منو قانع کنه میگه ملوان زبل یادت اسفناج می‌خورد جدا فک میکنه بچه هستم نظرتون وقتشه بهش بگم اونی ملوان زبل می‌زد اسفناج نبوده زوده
یه کلیپ بود تو خارج  یکی زنگ زده بود ۹۱۱ گفته بود من پیتزا میخوام، بعد طرف متوجه شده بود که تو شرایط اورژانسیه نمیتونه حرف بزنه. من زنگ زدم ۱۱۰ گفتم پیتزا میخوام طرف گفت اتفاقا منم میخوام و قطع کرد.  》ترادیاتور《  @OfficialPersianTwitter,1, کلیپ خارج زنگ‌زده گفته_بود پیتزا میخوام متوجه شرایط اورژانسیه نمیتونه حرف بزنه زنگ زدم گفتم پیتزا میخوام اتفاقا منم میخوام قطع ترادیاتور
با رفیقم میخواستیم از اتوبان رد شیم، دیدیم همه از پل هوایی میرن. به رفیقم گفتم به راهی که بقیه میرن شک کن. دویدیم وسط اتوبان الان ۶ ماهه تو گچیم  》بابا لنگ دراز با حفظ سمت《  @OfficialPersianTwitter,1,رفیقم می‌خواستیم اتوبان رد شیم دیدیم پل هوایی میرن رفیقم گفتم راهی بقیه میرن شک کن دویدیم وسط اتوبان الان ماهه گچیم بابا لنگ‌دراز حفظ
من اگه جای امیر قطر بودم، بعد از حذف تیمم توپ رو برمیداشتم میگفتم برین خونه خودتون بازی کنین  》حسین‌《  @OfficialPersianTwitter,3,اگه امیر قطر بودم حذف تیمم توپ برمیداشتم می‌گفتم برین خونه خودتون بازی کنین حسین
"پدر و مادرای ما اونقدر دلسوز بودن مثلا میگفتن ""از روی نرده ها سر نخور، میفتی پات زخم میشه"" بعد که گوش نمیدادی و سر میخوردی و هیچیت نمیشد، خودشون با دمپایی اونقدر میزدنت که کل بدنت کبود بشه!!  》صوفی《  @OfficialPersianTwitter",1,پدر مادرای اونقدر دلسوز مثلا میگفتن نرده‌ سر نخور میفتی پات زخم میشه گوش نمی‌دادی سر می‌خوردی هیچیت نمی‌شد خودشون دمپایی اونقدر میزدنت بدنت کبود بشه صوفی
من خیلی از شبا به عشق ناهار روز بعد و مخلفاتش میخوابم، بعد تو با من حرف از پرهیز غذایی میزنی؟؟  》Parham《  @OfficialPersianTwitter,1,شبا عشق نار روز مخلفاتش می‌خوابم حرف پرهیز غذایی می‌زنی
"جام جهانی بعدی در ""امریکا ، مکزیک ، کانادا "" برگزار میشه. نقطه قابل اشاره و بد این جام اینه که بازی ها به وقت ایران میشه تقریبا ساعت ۳-۴ بامداد..  》راعین《  @OfficialPersianTwitter",1,جام جنی بعدی امریکا مکزیک کانادا برگزار میشه نقطه اشاره بد جام اینه بازی‌ وقت ایران میشه تقریبا ساعت بامداد راعین
‏انقدر گز گرون شده که دیگه آردش رو نمی‌تکونم. با آرد می‌خورم قشنگ سیر شم.  》دریما《  @OfficialPersianTwitter,1,انقدر گز گرون دیگه آردش نمیتکونم آرد می‌خورم قشنگ سیر شم دریما
هر وقت تونستی رو چمن بشینی و بز درونتو کنترل کنی که شرو به کندن چمن نکنه به نفست مسلط شدی   * تِروفایلوم*  @OfficialPersianTwitter,1,وقت تونستی چمن بشینی بز درونتو کنترل کنی شرو کندن چمن نکنه نفست مسلط شدی تروفایلوم
‏پسر هفت ساله در حال توصیف معلم: امسال خانممون آقاست.  *هستان*  @OfficialPersianTwitter,3,پسر هفت توصیف معلم امسال خانممون آقاست هستان
شکست شگفتی‌سازان از کاستاریکا    ژاپن 0 - کاستاریکا 1  *OPT*  @OfficialPersianTwitter,1,شکست شگفتیسازان کاستاریکا ژاپن ۰ کاستاریکا ۱
‏همه امیرا لاشی‌ان، یکیش همین امیر قطر  》دابانف《  @OfficialPersianTwitter,2,امیرا لاشیان یکیش امیر قطر دابانف
هی میگین چرا موسیقی سنتی گوش نمیدین ، والا ما گوش میدیم خودش نمیخونه الان ۴دقیقه اس منتظرم بخونه ...  》$|-|@|-|R@M《  @OfficialPersianTwitter,2,هی میگین موسیقی سنتی گوش نمیدین والا گوش میدیم نمیخونه الان دقیقه اس منتظرم بخونه
‏من: مامان زوم نکن، استوریه. مامان: چرا 👌🏻 زوم 👌🏻 نمیشه 👌🏻.  》Sogol《  @OfficialPersianTwitter,2,مامان زوم نکن استوریه مامان زوم نمیشه
يه رفيقي دارم پارسال وقت گذاشت برا ثبت نام لاتاري، اولين بارشم بود، خيلي اميدوار بود و هيجان داشت كه برنده ميشه، ميگفت حسم ميگه برنده ميشم، حتي رفتيم فست فود شام مهمونم كرد، دقيقا همون روزي كه اعلام ميكنن برنده هارو از خواب پاشد كه بره آمار لاتاريشو دربياره ديد ماشينشو دزديدن بردن:)))  》moonchild《  @OfficialPersianTwitter,1, رفیقی دارم پارسال وقت گذاشت برا ثبت‌نام لاتاری بارشم امیدوار هیجان برنده میشه می‌گفت حسم میگه برنده میشم رفتیم فست فود شام مهمونم دقیقا همون روزی اعلام میکنن برنده رو خواب پاشد بره آمار لاتاریشو دربیاره دید ماشینشو دزدیدن بردن
خیابانی بازی کرواسی و کانادا رو اینجوری شروع کرد: ممنون از دوست خوب و دانشمند خودم، فکر کردم دانشمند رو با پروفسور سمیعی بود ولی خطابش به میثاقی بود:))))  》فوتبالی《  @OfficialPersianTwitter,1,خیابانی بازی کرواسی کانادا اینجوری ممنون دوست دانشمند خودم دانشمند پروفسور سمیعی خطابش میثاقی فوتبالی
